vendor_name,iban,risk_level
"Gibson, Meyers and Lopez",GB20ANUS58031071517301,Low
Savage LLC,GB98RQPA06902614119928,High
White-Morgan,GB07TLXZ33262944978354,Low
Gutierrez-Franklin,GB29OJER03393854438998,Low
Mcdowell Group,GB79SBSS80891205390591,Low
Ross-Gonzalez,GB43OBGN53167990714404,Medium
"Adams, Webb and Hamilton",GB35MFQM68934728713902,Low
Lopez-Garner,GB98FMXD51235800667374,Low
Bush LLC,GB89XGVZ04613879568398,Medium
Mejia and Sons,GB50VOXH62757248800444,Low
"Smith, Olson and Martin",GB10OCTU31742872982775,Medium
"Shea, Williams and Cunningham",GB52GAID44149492177608,High
Li-Thomas,GB98EVQU78351808138615,High
Ryan-Preston,GB26LHOC90856259998197,Low
"Martin, Fowler and Flynn",GB58VTEX02865330577206,Low
Dark Web Corp,GB26UXAW76862244024206,High
Fraud Inc,XXINVALIDIBAN,Low
